index,EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
0,684239,20171003,90.0,Y,DES survey hex 177-430 tiling 7,0.301
1,683805,20171002,90.0,Y,DES survey hex -32-582 tiling 9,0.303
2,683487,20171001,90.0,Y,DES survey hex -32-511 tiling 9,0.306
3,686160,20171011,90.0,Y,DES survey hex 116-14 tiling 9,0.307
4,684258,20171003,90.0,Y,DES survey hex 168-603 tiling 7,0.308
5,686164,20171011,90.0,Y,DES survey hex 132-65 tiling 9,0.31
6,683514,20171001,90.0,Y,DES survey hex 58-308 tiling 9,0.311
7,684259,20171003,90.0,Y,DES survey hex 203-613 tiling 7,0.315
8,674693,20170902,90.0,Y,DES survey hex -232-471 tiling 9,0.322
9,673144,20170828,90.0,Y,DES survey hex 244+6 tiling 9,0.322
10,684242,20171003,90.0,Y,DES survey hex 105-582 tiling 9,0.323
11,673143,20170828,90.0,Y,DES survey hex 260+16 tiling 9,0.324
12,683517,20171001,90.0,Y,DES survey hex -9-379 tiling 9,0.327
13,683038,20170929,90.0,Y,DES survey hex -36-410 tiling 9,0.327
14,683526,20171001,90.0,Y,DES survey hex 34-359 tiling 9,0.329
15,683439,20171001,90.0,Y,DES survey hex -360-562 tiling 9,0.329
16,676900,20170911,90.0,Y,DES survey hex 204-268 tiling 7,0.33
17,683494,20171001,90.0,Y,DES survey hex 13-369 tiling 9,0.33
18,683520,20171001,90.0,Y,DES survey hex 2-430 tiling 9,0.332
19,686170,20171011,90.0,Y,DES survey hex 196-24 tiling 9,0.336
20,674756,20170902,90.0,Y,DES survey hex -45-471 tiling 9,0.34
21,674682,20170902,90.0,Y,DES survey hex -287-511 tiling 9,0.342
22,683794,20171002,90.0,Y,DES survey hex -436-613 tiling 9,0.342
23,683446,20171001,90.0,Y,DES survey hex -102-410 tiling 9,0.344
24,683855,20171002,90.0,Y,DES survey hex 71-400 tiling 9,0.345
25,673688,20170830,90.0,Y,DES survey hex -5-359 tiling 7,0.346
26,674810,20170902,90.0,Y,DES survey hex 276+26 tiling 9,0.346
27,683837,20171002,90.0,Y,DES survey hex 45-582 tiling 9,0.347
28,686167,20171011,90.0,Y,DES survey hex 212+6 tiling 9,0.349
29,676401,20170910,90.0,Y,DES survey hex 180+26 tiling 9,0.349
30,683515,20171001,90.0,Y,DES survey hex 57-329 tiling 9,0.352
31,674684,20170902,90.0,Y,DES survey hex -228-410 tiling 9,0.355
32,683808,20171002,90.0,Y,DES survey hex 17-572 tiling 9,0.357
33,674685,20170902,90.0,Y,DES survey hex -275-582 tiling 9,0.363
34,683524,20171001,90.0,Y,DES survey hex 37-491 tiling 9,0.365
35,683846,20171002,90.0,Y,DES survey hex 70-613 tiling 9,0.366
36,683857,20171002,90.0,Y,DES survey hex 93-369 tiling 9,0.371
37,683525,20171001,90.0,Y,DES survey hex 32-379 tiling 9,0.374
38,674809,20170902,90.0,Y,DES survey hex 291+37 tiling 9,0.376
39,683844,20171002,90.0,Y,DES survey hex 90-430 tiling 7,0.383
40,683516,20171001,90.0,Y,DES survey hex 39-318 tiling 9,0.389
41,683516,20171001,90.0,Y,DES survey hex 39-318 tiling 9,0.389
42,683935,20171002,90.0,Y,DES survey hex 212-34 tiling 9,0.389
43,673689,20170830,90.0,Y,DES survey hex -9-379 tiling 7,0.389
44,676899,20170911,90.0,Y,DES survey hex 221-258 tiling 7,0.39
45,683823,20171002,90.0,Y,DES survey hex 74-359 tiling 9,0.393
46,683522,20171001,90.0,Y,DES survey hex 14-481 tiling 9,0.393
47,683523,20171001,90.0,Y,DES survey hex -12-491 tiling 9,0.395
48,684261,20171003,90.0,Y,DES survey hex 248-643 tiling 9,0.395
49,683938,20171002,90.0,Y,DES survey hex 228+37 tiling 9,0.4
50,674697,20170902,90.0,Y,DES survey hex -208-440 tiling 9,0.401
51,683845,20171002,90.0,Y,DES survey hex -344-603 tiling 9,0.403
52,674256,20170901,90.0,Y,DES survey hex -480-501 tiling 9,0.403
53,674257,20170901,90.0,Y,DES survey hex -505-511 tiling 9,0.408
54,674702,20170902,90.0,Y,DES survey hex -186-471 tiling 9,0.409
55,683849,20171002,90.0,Y,DES survey hex -5-633 tiling 9,0.411
56,674724,20170902,90.0,Y,DES survey hex -212-542 tiling 9,0.419
57,683527,20171001,90.0,Y,DES survey hex 37-339 tiling 9,0.429
58,683788,20171002,90.0,Y,DES survey hex -465-643 tiling 9,0.43
59,683937,20171002,90.0,Y,DES survey hex 228+16 tiling 9,0.43
60,675134,20170906,90.0,Y,DES survey hex -465-643 tiling 7,0.431
61,683859,20171002,90.0,Y,DES survey hex 114-339 tiling 9,0.434
62,683037,20170929,90.0,Y,DES survey hex -36-420 tiling 9,0.436
63,683824,20171002,90.0,Y,DES survey hex 75-339 tiling 9,0.436
64,684262,20171003,90.0,Y,DES survey hex 214-653 tiling 9,0.437
65,683518,20171001,90.0,Y,DES survey hex -7-471 tiling 9,0.437
66,683791,20171002,90.0,Y,DES survey hex -468-623 tiling 9,0.438
67,675522,20170907,90.0,Y,DES survey hex -549-430 tiling 9,0.439
68,683792,20171002,90.0,Y,DES survey hex -502-633 tiling 9,0.439
69,683847,20171002,90.0,Y,DES survey hex -40-633 tiling 9,0.439
70,674616,20170902,90.0,Y,DES survey hex -352-511 tiling 9,0.441
71,674249,20170901,90.0,Y,DES survey hex -537-623 tiling 9,0.443
72,683793,20171002,90.0,Y,DES survey hex -471-603 tiling 9,0.444
73,683822,20171002,90.0,Y,DES survey hex 72-379 tiling 9,0.444
74,683884,20171002,90.0,Y,DES survey hex 187-278 tiling 7,0.445
75,674704,20170902,90.0,Y,DES survey hex -210-501 tiling 9,0.445
76,676895,20170911,90.0,Y,DES survey hex 417-247 tiling 7,0.447
77,674259,20170901,90.0,Y,DES survey hex -451-532 tiling 9,0.448
78,674705,20170902,90.0,Y,DES survey hex -162-481 tiling 9,0.453
79,683809,20171002,90.0,Y,DES survey hex 11-592 tiling 9,0.453
80,683829,20171002,90.0,Y,DES survey hex 21-308 tiling 9,0.455
81,674710,20170902,90.0,Y,DES survey hex -142-430 tiling 9,0.459
82,683848,20171002,90.0,Y,DES survey hex -35-623 tiling 9,0.46
83,683838,20171002,90.0,Y,DES survey hex 39-603 tiling 9,0.464
84,683894,20171002,90.0,Y,DES survey hex 111-440 tiling 7,0.465
85,683820,20171002,90.0,Y,DES survey hex -27-461 tiling 9,0.465
86,683904,20171002,90.0,Y,DES survey hex 165-146 tiling 7,0.467
87,674258,20170901,90.0,Y,DES survey hex -478-521 tiling 9,0.468
88,683827,20171002,90.0,Y,DES survey hex 41-298 tiling 9,0.469
89,683872,20171002,90.0,Y,DES survey hex 115-237 tiling 7,0.471
90,683789,20171002,90.0,Y,DES survey hex -391-643 tiling 9,0.472
91,676837,20170911,90.0,Y,DES survey hex -30-440 tiling 9,0.476
92,683879,20171002,90.0,Y,DES survey hex -15-653 tiling 9,0.483
93,683519,20171001,90.0,Y,DES survey hex -2-450 tiling 9,0.483
94,683810,20171002,90.0,Y,DES survey hex -59-592 tiling 9,0.484
95,683784,20171002,90.0,Y,DES survey hex -569-613 tiling 9,0.485
96,683836,20171002,90.0,Y,DES survey hex 42-278 tiling 9,0.485
97,674812,20170902,90.0,Y,DES survey hex 244+26 tiling 9,0.485
98,683790,20171002,90.0,Y,DES survey hex -431-633 tiling 9,0.486
99,675636,20170907,90.0,Y,DES survey hex -219-643 tiling 9,0.486
100,675698,20170907,90.0,Y,DES survey hex 346-643 tiling 7,0.487
101,683828,20171002,90.0,Y,DES survey hex -33-481 tiling 9,0.489
102,683873,20171002,90.0,Y,DES survey hex 132-247 tiling 7,0.489
103,674279,20170901,90.0,Y,DES survey hex -503-592 tiling 9,0.489
104,675702,20170907,90.0,Y,DES survey hex 137-633 tiling 7,0.493
105,674280,20170901,90.0,Y,DES survey hex -473-582 tiling 9,0.494
106,683786,20171002,90.0,Y,DES survey hex -578-653 tiling 9,0.494
107,667570,20170815,90.0,Y,DES survey hex -299-14 tiling 7,0.494
108,683826,20171002,90.0,Y,DES survey hex 19-329 tiling 9,0.5
109,674248,20170901,90.0,Y,DES survey hex -539-643 tiling 7,0.501
110,683858,20171002,90.0,Y,DES survey hex 94-349 tiling 9,0.502
111,675701,20170907,90.0,Y,DES survey hex 138-653 tiling 7,0.503
112,682711,20170928,90.0,Y,DES survey hex -563-572 tiling 9,0.504
113,683817,20171002,90.0,Y,DES survey hex 29-400 tiling 9,0.505
114,683785,20171002,90.0,Y,DES survey hex -573-633 tiling 9,0.506
115,683787,20171002,90.0,Y,DES survey hex -501-653 tiling 9,0.507
116,683865,20171002,90.0,Y,DES survey hex -72-643 tiling 9,0.509
117,674247,20170901,90.0,Y,DES survey hex -528-461 tiling 9,0.51
118,674260,20170901,90.0,Y,DES survey hex -504-532 tiling 9,0.51
119,683821,20171002,90.0,Y,DES survey hex 53-369 tiling 9,0.513
120,684263,20171003,90.0,Y,DES survey hex 136-592 tiling 7,0.513
121,674694,20170902,90.0,Y,DES survey hex -231-450 tiling 9,0.515
122,675715,20170907,90.0,Y,DES survey hex 228-471 tiling 7,0.517
123,683825,20171002,90.0,Y,DES survey hex 55-349 tiling 9,0.518
124,674242,20170901,90.0,Y,DES survey hex -552-471 tiling 9,0.518
125,675635,20170907,90.0,Y,DES survey hex -217-623 tiling 9,0.519
126,683795,20171002,90.0,Y,DES survey hex -370-613 tiling 9,0.521
127,683851,20171002,90.0,Y,DES survey hex -73-552 tiling 9,0.521
128,674263,20170901,90.0,Y,DES survey hex -504-552 tiling 9,0.521
129,675714,20170907,90.0,Y,DES survey hex 203-461 tiling 9,0.523
130,674683,20170902,90.0,Y,DES survey hex -345-532 tiling 9,0.523
131,674261,20170901,90.0,Y,DES survey hex -530-521 tiling 9,0.524
132,683871,20171002,90.0,Y,DES survey hex 115-258 tiling 7,0.524
133,675284,20170906,90.0,Y,DES survey hex 416-268 tiling 7,0.525
134,683860,20171002,90.0,Y,DES survey hex 113-359 tiling 9,0.525
135,683895,20171002,90.0,Y,DES survey hex 111-461 tiling 7,0.527
136,683861,20171002,90.0,Y,DES survey hex 62-481 tiling 9,0.528
137,682712,20170928,90.0,Y,DES survey hex -566-592 tiling 9,0.528
138,674246,20170901,90.0,Y,DES survey hex -529-481 tiling 9,0.532
139,674686,20170902,90.0,Y,DES survey hex -255-461 tiling 9,0.536
140,683903,20171002,90.0,Y,DES survey hex 181-136 tiling 7,0.54
141,683854,20171002,90.0,Y,DES survey hex 77-298 tiling 7,0.541
142,675521,20170907,90.0,Y,DES survey hex -548-410 tiling 9,0.542
143,683939,20171002,90.0,Y,DES survey hex 212+26 tiling 9,0.547
144,683936,20171002,90.0,Y,DES survey hex 212-14 tiling 9,0.549
145,683920,20171002,90.0,Y,DES survey hex 202-227 tiling 7,0.55
146,683036,20170929,90.0,Y,DES survey hex -55-430 tiling 9,0.551
147,683796,20171002,90.0,Y,DES survey hex -378-592 tiling 9,0.552
148,683840,20171002,90.0,Y,DES survey hex 61-653 tiling 9,0.553
149,675699,20170907,90.0,Y,DES survey hex 214-653 tiling 7,0.557
150,674255,20170901,90.0,Y,DES survey hex -505-491 tiling 9,0.557
151,675705,20170907,90.0,Y,DES survey hex 217-542 tiling 7,0.558
152,675668,20170907,90.0,Y,DES survey hex 28-532 tiling 9,0.561
153,683870,20171002,90.0,Y,DES survey hex 114-278 tiling 7,0.561
154,683831,20171002,90.0,Y,DES survey hex 3-613 tiling 9,0.561
155,674245,20170901,90.0,Y,DES survey hex -530-501 tiling 9,0.561
156,675703,20170907,90.0,Y,DES survey hex 171-623 tiling 7,0.567
157,675712,20170907,90.0,Y,DES survey hex 209-501 tiling 7,0.571
158,683883,20171002,90.0,Y,DES survey hex 169-288 tiling 7,0.572
159,683868,20171002,90.0,Y,DES survey hex 97-268 tiling 7,0.573
160,674278,20170901,90.0,Y,DES survey hex -504-572 tiling 9,0.573
161,683869,20171002,90.0,Y,DES survey hex 96-288 tiling 7,0.575
162,683893,20171002,90.0,Y,DES survey hex 112-400 tiling 9,0.576
163,674265,20170901,90.0,Y,DES survey hex -448-552 tiling 9,0.576
164,683552,20171001,90.0,Y,DES survey hex 180-34 tiling 9,0.577
165,683876,20171002,90.0,Y,DES survey hex 133-308 tiling 9,0.578
166,675749,20170907,90.0,Y,DES survey hex 403-116 tiling 7,0.578
167,676836,20170911,90.0,Y,DES survey hex -50-450 tiling 9,0.579
168,675700,20170907,90.0,Y,DES survey hex 174-643 tiling 7,0.581
169,675623,20170907,90.0,Y,DES survey hex -315-4 tiling 7,0.582
170,683864,20171002,90.0,Y,DES survey hex 73-592 tiling 9,0.585
171,683867,20171002,90.0,Y,DES survey hex 97-247 tiling 7,0.585
172,675704,20170907,90.0,Y,DES survey hex 162-542 tiling 7,0.585
173,674254,20170901,90.0,Y,DES survey hex -481-481 tiling 9,0.587
174,683797,20171002,90.0,Y,DES survey hex -352-582 tiling 9,0.589
175,683816,20171002,90.0,Y,DES survey hex 6-410 tiling 9,0.591
176,675573,20170907,90.0,Y,DES survey hex -273-430 tiling 9,0.594
177,683832,20171002,90.0,Y,DES survey hex -50-613 tiling 9,0.595
178,683830,20171002,90.0,Y,DES survey hex -25-603 tiling 9,0.595
179,675713,20170907,90.0,Y,DES survey hex 206-481 tiling 7,0.595
180,675634,20170907,90.0,Y,DES survey hex -184-592 tiling 9,0.595
181,674253,20170901,90.0,Y,DES survey hex -482-461 tiling 9,0.596
182,692704,20171030,90.0,Y,DES survey hex 148+6 tiling 9,0.596
183,683853,20171002,90.0,Y,DES survey hex 76-318 tiling 9,0.597
184,675598,20170907,90.0,Y,DES survey hex -374-521 tiling 9,0.598
185,683891,20171002,90.0,Y,DES survey hex 95-329 tiling 9,0.599
186,692701,20171030,90.0,Y,DES survey hex 180-14 tiling 9,0.599
187,683896,20171002,90.0,Y,DES survey hex 110-481 tiling 9,0.6
188,674302,20170901,90.0,Y,DES survey hex -535-603 tiling 9,0.6
189,674271,20170901,90.0,Y,DES survey hex -399-623 tiling 7,0.604
190,675710,20170907,90.0,Y,DES survey hex 188-532 tiling 7,0.605
191,675663,20170907,90.0,Y,DES survey hex 53-542 tiling 9,0.605
192,674262,20170901,90.0,Y,DES survey hex -531-542 tiling 9,0.605
193,683905,20171002,90.0,Y,DES survey hex 182-156 tiling 7,0.606
194,683875,20171002,90.0,Y,DES survey hex 133-288 tiling 7,0.606
195,674703,20170902,90.0,Y,DES survey hex -185-491 tiling 9,0.607
196,683882,20171002,90.0,Y,DES survey hex 151-278 tiling 7,0.607
197,683815,20171002,90.0,Y,DES survey hex -22-440 tiling 9,0.609
198,683551,20171001,90.0,Y,DES survey hex 196-45 tiling 9,0.61
199,674286,20170901,90.0,Y,DES survey hex -468-623 tiling 7,0.611
200,674243,20170901,90.0,Y,DES survey hex -554-491 tiling 9,0.614
201,674252,20170901,90.0,Y,DES survey hex -436-461 tiling 9,0.615
202,674251,20170901,90.0,Y,DES survey hex -458-471 tiling 9,0.615
203,675650,20170907,90.0,Y,DES survey hex -251-4 tiling 9,0.618
204,675708,20170907,90.0,Y,DES survey hex 241-532 tiling 7,0.618
205,692705,20171030,90.0,Y,DES survey hex 164+16 tiling 9,0.621
206,675210,20170906,90.0,Y,DES survey hex -183-633 tiling 9,0.622
207,683862,20171002,90.0,Y,DES survey hex 69-420 tiling 9,0.623
208,675709,20170907,90.0,Y,DES survey hex 213-521 tiling 7,0.625
209,676835,20170911,90.0,Y,DES survey hex -71-461 tiling 9,0.625
210,675558,20170907,90.0,Y,DES survey hex -374-430 tiling 9,0.627
211,674301,20170901,90.0,Y,DES survey hex -386-572 tiling 7,0.63
212,683892,20171002,90.0,Y,DES survey hex 113-379 tiling 9,0.637
213,675572,20170907,90.0,Y,DES survey hex -297-440 tiling 9,0.639
214,674250,20170901,90.0,Y,DES survey hex -505-471 tiling 9,0.639
215,675211,20170906,90.0,Y,DES survey hex -182-653 tiling 9,0.639
216,683818,20171002,90.0,Y,DES survey hex -13-400 tiling 9,0.639
217,674285,20170901,90.0,Y,DES survey hex -460-450 tiling 9,0.64
218,683924,20171002,90.0,Y,DES survey hex 166-207 tiling 7,0.641
219,674269,20170901,90.0,Y,DES survey hex -406-603 tiling 7,0.641
220,683863,20171002,90.0,Y,DES survey hex 91-410 tiling 9,0.641
221,674272,20170901,90.0,Y,DES survey hex -505-450 tiling 9,0.641
222,674373,20170901,90.0,Y,DES survey hex -163-461 tiling 9,0.645
223,675693,20170907,90.0,Y,DES survey hex 114-339 tiling 7,0.646
224,674307,20170901,90.0,Y,DES survey hex -560-552 tiling 9,0.647
225,683874,20171002,90.0,Y,DES survey hex 132-268 tiling 7,0.647
226,683839,20171002,90.0,Y,DES survey hex 34-623 tiling 9,0.648
227,674244,20170901,90.0,Y,DES survey hex -555-511 tiling 9,0.649
228,675671,20170907,90.0,Y,DES survey hex -18-511 tiling 9,0.65
229,692700,20171030,90.0,Y,DES survey hex 164-65 tiling 9,0.655
230,675135,20170906,90.0,Y,DES survey hex -501-653 tiling 7,0.658
231,674277,20170901,90.0,Y,DES survey hex -364-471 tiling 7,0.66
232,675654,20170907,90.0,Y,DES survey hex -258-653 tiling 9,0.66
233,674270,20170901,90.0,Y,DES survey hex -431-633 tiling 7,0.662
234,683921,20171002,90.0,Y,DES survey hex 184-217 tiling 7,0.665
235,674300,20170901,90.0,Y,DES survey hex -532-562 tiling 9,0.666
236,676833,20170911,90.0,Y,DES survey hex -88-491 tiling 9,0.668
237,675681,20170907,90.0,Y,DES survey hex 26-420 tiling 9,0.669
238,675637,20170907,90.0,Y,DES survey hex -145-643 tiling 9,0.669
239,675665,20170907,90.0,Y,DES survey hex 49-562 tiling 9,0.673
240,675665,20170907,90.0,Y,DES survey hex 49-562 tiling 9,0.673
241,683919,20171002,90.0,Y,DES survey hex 218-217 tiling 7,0.673
242,674281,20170901,90.0,Y,DES survey hex -483-440 tiling 9,0.674
243,676371,20170910,90.0,Y,DES survey hex -39-491 tiling 9,0.675
244,674264,20170901,90.0,Y,DES survey hex -477-542 tiling 9,0.677
245,676370,20170910,90.0,Y,DES survey hex -55-521 tiling 9,0.679
246,675670,20170907,90.0,Y,DES survey hex -25-532 tiling 9,0.68
247,683819,20171002,90.0,Y,DES survey hex -17-420 tiling 9,0.68
248,675145,20170906,90.0,Y,DES survey hex -421-410 tiling 9,0.68
249,674284,20170901,90.0,Y,DES survey hex -462-430 tiling 9,0.68
